# w,mag,phase
3.288774285825510333e+02,2.236481271872063470e+00,-4.218075369611542946e+00
3.319266204733189625e+02,2.241404613323704442e+00,-4.266644285959160676e+00
3.350040829913132825e+02,2.246441420398669564e+00,-4.315972091316791825e+00
3.381100782480685325e+02,2.251594768964714444e+00,-4.366076810839454758e+00
3.412448707852889243e+02,2.256867837855372372e+00,-4.416977077693476694e+00
3.444087275973823239e+02,2.262263913156711492e+00,-4.468692159097822802e+00
3.476019181541977332e+02,2.267786392710159582e+00,-4.521241983704464396e+00
3.508247144239792306e+02,2.273438790844167556e+00,-4.574647170398544738e+00
3.540773908965269925e+02,2.279224743348336357e+00,-4.628929058604349223e+00
3.573602246065788108e+02,2.285148012704599108e+00,-4.684109740189442483e+00
3.606734951574027832e+02,2.291212493590990995e+00,-4.740212093065459875e+00
3.640174847446141371e+02,2.297422218674701089e+00,-4.797259816591377124e+00
3.673924781802074335e+02,2.303781364712167878e+00,-4.855277468892360559e+00
3.707987629168172248e+02,2.310294258975349457e+00,-4.914290506215744259e+00
3.742366290721980704e+02,2.316965386024526286e+00,-4.974325324454200725e+00
3.777063694539364747e+02,2.323799394849593636e+00,-5.035409302976126433e+00
3.812082795843887766e+02,2.330801106403270762e+00,-5.097570850913231588e+00
3.847426577258505631e+02,2.337975521551430180e+00,-5.160839456066877773e+00
3.883098049059605046e+02,2.345327829467588554e+00,-5.225245736606706437e+00
3.919100249433402041e+02,2.352863416500599936e+00,-5.290821495748430969e+00
3.955436244734701745e+02,2.360587875546764636e+00,-5.357599779611912361e+00
3.992109129748053533e+02,2.368507015959933515e+00,-5.425614938476334359e+00
4.029122027951347604e+02,2.376626874035735248e+00,-5.494902691666340822e+00
4.066478091781854118e+02,2.384953724108844764e+00,-5.565500196321334414e+00
4.104180502904709442e+02,2.393494090305189559e+00,-5.637446120320330323e+00
4.142232472483897823e+02,2.402254758994320838e+00,-5.710780719656791682e+00
4.180637241455758044e+02,2.411242791990706014e+00,-5.785545920581778745e+00
4.219398080805024165e+02,2.420465540556591133e+00,-5.861785406859886471e+00
4.258518291843414545e+02,2.429930660263319719e+00,-5.939544712511064084e+00
4.298001206490798722e+02,2.439646126772596180e+00,-6.018871320442682027e+00
4.337850187558988750e+02,2.449620252604229442e+00,-6.099814767410550509e+00
4.378068629038166364e+02,2.459861704962382323e+00,-6.182426755784983463e+00
4.418659956385941427e+02,2.470379524698335771e+00,-6.266761272639174152e+00
4.459627626819095667e+02,2.481183146494388314e+00,-6.352874716722462622e+00
4.500975129608046359e+02,2.492282420360661277e+00,-6.440826033930552086e+00
4.542705986374043050e+02,2.503687634544481178e+00,-6.530676861939456401e+00
4.584823751389096174e+02,2.515409539960602459e+00,-6.622491684729872041e+00
4.627332011878693265e+02,2.527459376260054125e+00,-6.716337997795061021e+00
4.670234388327335182e+02,2.539848899665736681e+00,-6.812286484898277372e+00
4.713534534786907102e+02,2.552590412714374146e+00,-6.910411207326435878e+00
