# w,mag,phase
1.426621015260737535e-01,4.070495123554913622e-08,1.799983652127043854e+02
1.466670866343968427e-01,4.302246951060043418e-08,1.799983193189528095e+02
1.507845045861051780e-01,4.547193465972576960e-08,1.799982721368155012e+02
1.550175117335770292e-01,4.806085901996398497e-08,1.799982236301233058e+02
1.593693530381775358e-01,5.079718263998784656e-08,1.799981737616916746e+02
1.638433645577983822e-01,5.368929763168414828e-08,1.799981224932922146e+02
1.684429760042315261e-01,5.674607390818147745e-08,1.799980697856232155e+02
1.731717133723353619e-01,5.997688638726168178e-08,1.799980155982798067e+02
1.780332016430113962e-01,6.339164374358747840e-08,1.799979598897227220e+02
1.830311675620611978e-01,6.700081879792635154e-08,1.799979026172465524e+02
1.881694424970555557e-01,7.081548063657312921e-08,1.799978437369469759e+02
1.934519653744045387e-01,7.484732855947958889e-08,1.799977832036872769e+02
1.988827856988809872e-01,7.910872796120744264e-08,1.799977209710633872e+02
2.044660666579116715e-01,8.361274825474993147e-08,1.799976569913687285e+02
2.102060883130158486e-01,8.837320295453193493e-08,1.799975912155573212e+02
2.161072508808377646e-01,9.340469204152039309e-08,1.799975235932063811e+02
2.221740781062884751e-01,9.872264674037698347e-08,1.799974540724774670e+02
2.284112207303824471e-01,1.043433768459814459e-07,1.799973826000770316e+02
2.348234600554276463e-01,1.102841207444734786e-07,1.799973091212152099e+02
2.414157116103018974e-01,1.165630982822249006e-07,1.799972335795642095e+02
2.481930289186255190e-01,1.231995666448881956e-07,1.799971559172148261e+02
2.551606073727185064e-01,1.302138794178993631e-07,1.799970760746321048e+02
2.623237882163123591e-01,1.376275490095704649e-07,1.799969939906097807e+02
2.696880626390692481e-01,1.454633126282202003e-07,1.799969096022234112e+02
2.772590759860482645e-01,1.537452020156913609e-07,1.799968228447819172e+02
2.850426320853434725e-01,1.624986171511222105e-07,1.799967336517782144e+02
2.930446976972143069e-01,1.717504041510208352e-07,1.799966419548381396e+02
3.012714070881163941e-01,1.815289376045556778e-07,1.799965476836680125e+02
3.097290667331408232e-01,1.918642075965814114e-07,1.799964507660008053e+02
3.184241601504653185e-01,2.027879116852955237e-07,1.799963511275406631e+02
3.273633528715245711e-01,2.143335521166172808e-07,1.799962486919060041e+02
3.365534975507094573e-01,2.265365385734415738e-07,1.799961433805709987e+02
3.460016392185110701e-01,2.394342967748934675e-07,1.799960351128053162e+02
3.557150206821386162e-01,2.530663832586558942e-07,1.799959238056122217e+02
3.657010880777491479e-01,2.674746066984005602e-07,1.799958093736649687e+02
3.759674965785467782e-01,2.827031561284001070e-07,1.799956917292415426e+02
3.865221162631263807e-01,2.987987364685806079e-07,1.799955707821570172e+02
3.973730381485608421e-01,3.158107117656662264e-07,1.799954464396949163e+02
4.085285803928563331e-01,3.337912565897313667e-07,1.799953186065357329e+02
4.199972946715306299e-01,3.527955160504896447e-07,1.799951871846840561e+02
4.317879727332023521e-01,3.728817749240855931e-07,1.799950520733933956e+02
4.439096531392170975e-01,3.941116364090962989e-07,1.799949131690889885e+02
4.563716281924758422e-01,4.165502110599834112e-07,1.799947703652883604e+02
4.691834510607796327e-01,4.402663164774554668e-07,1.799946235525196130e+02
4.823549431001467602e-01,4.653326883681772784e-07,1.799944726182377508e+02
4.958962013837214244e-01,4.918262036211567572e-07,1.799943174467380516e+02
5.098176064420424369e-01,5.198281160849745687e-07,1.799941579190677032e+02
5.241298302206058857e-01,5.494243057689848482e-07,1.799939939129343713e+02
5.388438442608223244e-01,5.807055422327888919e-07,1.799938253026124926e+02
5.539709281106403038e-01,6.137677629717965635e-07,1.799936519588471242e+02
5.695226779712825316e-01,6.487123676526861082e-07,1.799934737487544396e+02
5.855110155867241373e-01,6.856465291011851370e-07,1.799932905357202060e+02
6.019481973827274235e-01,7.246835219959782536e-07,1.799931021792948513e+02
6.188468238624386109e-01,7.659430702768516675e-07,1.799929085350858884e+02
6.362198492657489268e-01,8.095517143325836918e-07,1.799927094546472404e+02
6.540805914998255588e-01,8.556431990947589669e-07,1.799925047853652700e+02
6.724427423484249378e-01,9.043588842278049662e-07,1.799922943703419946e+02
6.913203779678130934e-01,9.558481776733176905e-07,1.799920780482746068e+02
7.107279696773418642e-01,1.010268993878386249e-06,1.799918556533319816e+02
7.306803950529503489e-01,1.067788238113316354e-06,1.799916270150274045e+02
7.511929493320964601e-01,1.128582318364199288e-06,1.799913919580879735e+02
7.722813571388642551e-01,1.192837686370331648e-06,1.799911503023201362e+02
7.939617845382279659e-01,1.260751409465881130e-06,1.799909018624715031e+02
8.162508514287228900e-01,1.332531774979706482e-06,1.799906464480889952e+02
8.391656442830156548e-01,1.408398929047068951e-06,1.799903838633726707e+02
8.627237292461450435e-01,1.488585551792546307e-06,1.799901139070256590e+02
8.869431656014709064e-01,1.573337570955006730e-06,1.799898363720998304e+02
9.118425196146571210e-01,1.662914916143434757e-06,1.799895510458370893e+02
9.374408787662995568e-01,1.757592316037000505e-06,1.799892577095063189e+02
9.637578663841088744e-01,1.857660140974516122e-06,1.799889561382356646e+02
9.908136566858670724e-01,1.963425293517636523e-06,1.799886461008399579e+02
1.018628990244687449e+00,2.075212149719311363e-06,1.799883273596437618e+02
1.047225189888434382e+00,2.193363553984551994e-06,1.799879996702988763e+02
1.076624177045493402e+00,2.318241870574950022e-06,1.799876627815970664e+02
1.106848488549411869e+00,2.450230094982114335e-06,1.799873164352775632e+02
1.137921293915315157e+00,2.589733028578962599e-06,1.799869603658286792e+02
1.169866413101307012e+00,2.737178520151672930e-06,1.799865943002847928e+02
1.202708334768511911e+00,2.893018778120609248e-06,1.799862179580165105e+02
1.236472235053714952e+00,3.057731757474968079e-06,1.799858310505157135e+02
1.271183996869028832e+00,3.231822625675534117e-06,1.799854332811743234e+02
1.306870229743346323e+00,3.415825312021742803e-06,1.799850243450568428e+02
1.343558290220826290e+00,3.610304145235738246e-06,1.799846039286664734e+02
1.381276302832009417e+00,3.815855584286295435e-06,1.799841717097047535e+02
1.420053181653683216e+00,4.033110047761983321e-06,1.799837273568243461e+02
1.459918652473978673e+00,4.262733847404821961e-06,1.799832705293750337e+02
1.500903275579736684e+00,4.505431231735740855e-06,1.799828008771423526e+02
1.543038469183564576e+00,4.761946546040360444e-06,1.799823180400790932e+02
1.586356533508589628e+00,5.033066515341224590e-06,1.799818216480290403e+02
1.630890675549332647e+00,5.319622657359383574e-06,1.799813113204432966e+02
1.676675034527699282e+00,5.622493832867448586e-06,1.799807866660882212e+02
1.723744708063619901e+00,5.942608941257746835e-06,1.799802472827453528e+02
1.772135779080358464e+00,6.280949769594483179e-06,1.799796927569030629e+02
1.821885343465167173e+00,6.638554003890326038e-06,1.799791226634390569e+02
1.873031538506436444e+00,7.016518411844933628e-06,1.799785365652947178e+02
1.925613572129198703e+00,7.416002206809878246e-06,1.799779340131393042e+02
1.979671752951332575e+00,7.838230603299702200e-06,1.799773145450258198e+02
2.035247521183577657e+00,8.284498574957614115e-06,1.799766776860359698e+02
2.092383480396976747e+00,8.756174826504639432e-06,1.799760229479165332e+02
2.151123430182167340e+00,9.254705991858815084e-06,1.799753498287041111e+02
2.211512399725488631e+00,9.781621071304116556e-06,1.799746578123403253e+02
2.273596682327717389e+00,1.033853612132369305e-05,1.799739463682757332e+02
2.337423870891814914e+00,1.092715921148616188e-05,1.799732149510627437e+02
2.403042894406969499e+00,1.154929566359501073e-05,1.799724629999369654e+02
2.470504055456825387e+00,1.220685358917604993e-05,1.799716899383869588e+02
2.539859068780726314e+00,1.290184974229524445e-05,1.799708951737117104e+02
2.611161100917459343e+00,1.363641570566589930e-05,1.799700780965655440e+02
2.684464810961962655e+00,1.441280442902886706e-05,1.799692380804906975e+02
