# w,mag,phase
3.573602246065788607e-02,1.429440900215292347e-05,8.999959049534676581e+01
3.673924781802074407e-02,1.469569914664743031e-05,8.999957899923096249e+01
3.777063694539368327e-02,1.510825479928015348e-05,8.999956718038210113e+01
3.883098049059605095e-02,1.553239221919045491e-05,8.999955502974005128e+01
3.992109129748053209e-02,1.596843654393203225e-05,8.999954253799030823e+01
4.104180502904709177e-02,1.641672203871859606e-05,8.999952969555687332e+01
4.219398080805026457e-02,1.687759235266687093e-05,8.999951649259493536e+01
4.337850187558989212e-02,1.735140078223299344e-05,8.999950291898325361e+01
4.459627626819093194e-02,1.783851054204454450e-05,8.999948896431656920e+01
4.584823751389095758e-02,1.833929504333569506e-05,8.999947461789737702e+01
4.713534534786909674e-02,1.885413818019887025e-05,8.999945986872795345e+01
4.845858644816495447e-02,1.938343462387249954e-05,8.999944470550178721e+01
4.981897519205162606e-02,1.992759012529036043e-05,8.999942911659496758e+01
5.121755443364241212e-02,2.048702182612445019e-05,8.999941309005727419e+01
5.265539630332755766e-02,2.106215857855983542e-05,8.999939661360299681e+01
5.413360302965380955e-02,2.165344127404670251e-05,8.999937967460152777e+01
5.565330778427646230e-02,2.226132318128138087e-05,8.999936226006765594e+01
5.721567555063251931e-02,2.288627029367584957e-05,8.999934435665167598e+01
5.882190401699955579e-02,2.352876168658152631e-05,8.999932595062908547e+01
6.047322449462649158e-02,2.418928988454188250e-05,8.999930702789008308e+01
6.217090286163826779e-02,2.486836123885458763e-05,8.999928757392878254e+01
6.391624053344005518e-02,2.556649631573353922e-05,8.999926757383207132e+01
6.571057546036269958e-02,2.628423029536738206e-05,8.999924701226814250e+01
6.755528315331643663e-02,2.702211338218140699e-05,8.999922587347482761e+01
6.945177773823696388e-02,2.778071122661639403e-05,8.999920414124740375e+01
7.140151304013399314e-02,2.856060535874845773e-05,8.999918179892628700e+01
7.340598369757211916e-02,2.936239363408195877e-05,8.999915882938414313e+01
7.546672630843891116e-02,3.018669069185721891e-05,8.999913521501291314e+01
7.758532060787835805e-02,3.103412842622453772e-05,8.999911093771012816e+01
7.976339067929276438e-02,3.190535647064555704e-05,8.999908597886515338e+01
8.200260619934131301e-02,3.280104269589339725e-05,8.999906031934492034e+01
8.430468371788971127e-02,3.372187372203326551e-05,8.999903393947919028e+01
8.667138797389233040e-02,3.466855544477612542e-05,8.999900681904554745e+01
8.910453324821512866e-02,3.564181357660877863e-05,8.999897893725388087e+01
9.160598475443709754e-02,3.664239420311542124e-05,8.999895027273039716e+01
9.417766006869518480e-02,3.767106435491659056e-05,8.999892080350129220e+01
9.682153059967085751e-02,3.872861259566504424e-05,8.999889050697586867e+01
9.953962309984233647e-02,3.981584962654779086e-05,8.999885935992926989e+01
1.023340212191641702e-01,4.093360890775940141e-05,8.999882733848460248e+01
1.052068671023622809e-01,4.208274729742132628e-05,8.999879441809468972e+01
1.081603630310710024e-01,4.326414570843846311e-05,8.999876057352324210e+01
1.111967731120698938e-01,4.447870978379551673e-05,8.999872577882548796e+01
