# w,mag,phase
2.611161100917459521e+01,1.975865116815715528e+00,-8.910107374424809379e+00
2.659804395593758386e+01,1.974973228785005919e+00,-9.073586028644131218e+00
2.709353865732051503e+01,1.974048980318571012e+00,-9.239970111489363092e+00
2.759826392466180423e+01,1.973091242057341654e+00,-9.409306037498861741e+00
2.811239171408464088e+01,1.972098848564994844e+00,-9.581640671321963509e+00
2.863609718508115876e+01,1.971070597425504944e+00,-9.757021314763711928e+00
2.916955876018796090e+01,1.970005248337631798e+00,-9.935495692578244942e+00
2.971295818577334202e+01,1.968901522208165167e+00,-1.011711193694799071e+01
3.026648059395692059e+01,1.967758100245928565e+00,-1.030191857058408722e+01
3.083031456568276951e+01,1.966573623058713860e+00,-1.048996448838142292e+01
3.140465219496752169e+01,1.965346689755526510e+00,-1.068129893755988924e+01
3.198968915434537763e+01,1.964075857056710506e+00,-1.087597149622187587e+01
3.258562476153226584e+01,1.962759638414746988e+00,-1.107403205025412340e+01
3.319266204733190051e+01,1.961396503148737480e+00,-1.127553076850067804e+01
3.381100782480685041e+01,1.959984875595817799e+00,-1.148051807613220987e+01
3.444087275973823381e+01,1.958523134283006284e+00,-1.168904462613558337e+01
3.508247144239792448e+01,1.957009611123222692e+00,-1.190116126884651493e+01
3.573602246065788535e+01,1.955442590639510536e+00,-1.211691901944716854e+01
3.640174847446141371e+01,1.953820309221741436e+00,-1.233636902334981578e+01
3.707987629168170685e+01,1.952140954420400032e+00,-1.255956251938705215e+01
3.777063694539366168e+01,1.950402664282304688e+00,-1.278655080072910621e+01
3.847426577258503499e+01,1.948603526733468039e+00,-1.301738517344841028e+01
3.919100249433404315e+01,1.946741579014568346e+00,-1.325211691265242209e+01
3.992109129748051544e+01,1.944814807174858329e+00,-1.349079721610613447e+01
4.066478091781856108e+01,1.942821145630640123e+00,-1.373347715526696788e+01
4.142232472483895833e+01,1.940758476794770981e+00,-1.398020762365631597e+01
4.219398080805026297e+01,1.938624630784000935e+00,-1.423103928249409300e+01
4.298001206490796022e+01,1.936417385211259390e+00,-1.448602250352519327e+01
